key,nama,key_menteri
12.12.24.2010,Bius Gu Barat,12.12.24.2010
12.71.15.1001,Aur,12.71.15.1001
12.71.15.1003,Jati,12.71.15.1003
16.04.10.1043,RD. PJKA,16.04.10.1043
32.11.02.2001,Sirnasari,32.11.02.2001
36.02.16.2018,Cikaratuan,36.02.28.2009
53.03.11.2005,Nian,53.03.11.2005
53.06.10.2014,Belota,53.06.10.2014
53.06.11.2009,Pepakelu,53.06.11.2009
53.14.07.2004,Bo'a,53.14.07.2004
72.01.09.2012,Tohiti Sari,72.01.24.2007
72.01.09.2015,Tolisu,72.01.24.2001
72.01.09.2016,Piondo,72.01.24.2010
72.01.09.2027,Bukit Jaya,72.01.24.2009
72.01.09.2041,Sindang Baru,72.01.24.2008
72.01.09.2048,Mekar Kencana,72.01.24.2002
72.01.09.2049,Marga Kencana,72.01.24.2003
72.01.09.2050,Sari Buana,72.01.24.2006
72.01.09.2055,Mulya Sari,72.01.24.2004
72.01.09.2056,Tirta Jaya,72.01.24.2005
72.06.06.2018,Lalemo,72.06.20.2011
72.06.06.2019,Lamontoli,72.06.20.2012
72.06.06.2048,Pulau Dua Darat,72.06.20.2013
72.06.07.2013,Matano,72.06.20.2002
72.06.07.2021,Mbokitta,72.06.20.2006
73.09.12.2006,Bonto Marannu,73.09.12.2006
74.02.36.1009,Watunggarandu,74.02.36.2012
74.05.05.2028,Wonuakoa,74.05.24.2009
74.05.07.2021,Ranowila,74.05.18.2006
81.05.02.2006,Urung,81.05.16.2001
81.05.02.2046,Kwawor Kecil Mata Ata,81.05.16.2002
81.05.02.2047,Kwawor Kecil Mata Wawa,81.05.16.2003
81.05.02.2048,Kwawor Besar Ena,81.05.16.2004
81.05.02.2049,Kwawor Besar Witau,81.05.16.2005
81.05.02.2050,Guli-Guli,81.05.16.2006
81.05.02.2051,Manggis,81.05.16.2007
81.05.02.2052,Ainena,81.05.16.2008
81.05.02.2053,Mugusinis,81.05.16.2009
81.05.02.2054,Akat Fadedo,81.05.16.2010
82.03.08.2025,Sosol/Malifut,82.03.08.2025
92.02.03.2019,Mokwam,92.02.32.2005
92.02.03.2020,Amber,92.02.32.2007
92.02.03.2021,Kwau,92.02.32.2004
92.02.03.2022,Syou,92.02.32.2006
92.02.03.2024,Mingre,92.02.32.2002
92.02.03.2025,Aiwow,92.02.32.2012
92.02.03.2026,Asarbey,92.02.32.2008
92.02.03.2027,Minoqbei,92.02.32.2009
92.02.03.2028,Bahamyenti,92.02.32.2010
92.02.03.2029,Figoud,92.02.32.2003
92.02.03.2030,Kipuwau,92.02.32.2011
92.02.03.2031,Duweibey,92.02.32.2001
92.02.04.2004,Aimasi,92.02.31.2008
92.02.04.2005,Udapi Hilir,92.02.31.2003
92.02.04.2006,Waseki Pop,92.02.31.2004
92.02.04.2007,Wasegi Indah,92.02.31.2002
92.02.04.2009,Bogor,92.02.31.2007
92.02.04.2011,Bedip Matoa,92.02.31.2010
92.02.04.2012,Kali Amin,92.02.31.2006
92.02.04.2013,Lismaungu,92.02.31.2009
92.02.04.2014,Uhyehebrig,92.02.31.2005
92.02.04.2015,Kerenu,92.02.31.2001
92.02.05.2003,Prafi Barat,92.02.33.2003
92.02.05.2004,Muara Prafi,92.02.33.2006
92.02.05.2006,Macuan,92.02.33.2004
92.02.05.2010,Makwan,92.02.33.2007
92.02.05.2011,Kali Merah,92.02.33.2002
92.02.05.2012,Meiforga,92.02.33.2005
92.02.05.2013,Sibuni,92.02.33.2001
92.02.05.2017,Merejemeg,92.02.34.2006
92.02.05.2018,Aurmios,92.02.34.2009
92.02.05.2024,Membowi,92.02.34.2003
92.02.05.2028,Meyof II,92.02.34.2002
92.02.05.2030,Moubja,92.02.34.2001
92.02.05.2031,Ririnfos,92.02.34.2004
92.02.05.2032,Muara Wariori,92.02.34.2010
92.02.05.2035,Meyeruk,92.02.34.2008
92.02.05.2039,Aska,92.02.33.2010
92.02.05.2040,Mantedi,92.02.33.2009
92.02.05.2042,Wariori Indah,92.02.34.2005
92.02.05.2045,Urey,92.02.33.2008
92.02.05.2046,Wamfoura,92.02.34.2007
92.02.14.2002,Mandopi,92.02.35.2002
92.02.14.2003,Mubri,92.02.35.2003
92.02.14.2005,Teluk Mubri,92.02.35.2004
92.02.14.2006,Meyes,92.02.35.2005
92.02.14.2012,Inya,92.02.35.2006
93.02.03.2004,Jetetkun,93.02.17.2006
93.03.01.2004,Mappi Bawah/Yamui,93.03.01.2004
93.03.02.2003,Waghien/Koba,93.03.02.2003
93.03.08.2009,Rimba Jaya/Gayu,93.03.08.2009
95.04.29.2002,Wari/Taiyeve,95.04.29.2002
95.04.30.2001,Dow/Bijere,95.04.30.2001
96.01.01.2004,Malaumkarta,96.01.01.2003
96.01.01.2007,Batu Lubang Pantai,96.01.01.2005
96.01.01.2009,Bainkete,96.01.01.2007
96.01.01.2010,Teluk Dore,96.01.01.2008
96.01.01.2015,Klagulus,96.01.01.2013
96.01.04.2002,Wanurian,96.01.02.2002
96.01.07.2028,Maibo,96.01.05.2006
96.01.08.2003,Wariayau,96.01.06.2003
96.01.10.2014,Klain,96.01.07.2006
96.03.24.2001,Abidon,96.03.23.2001
96.03.24.2002,Rutum,96.03.23.2002
96.03.24.2003,Reni,96.03.23.2003
96.03.24.2004,Meosbekwan,96.03.23.2004
